,created,day,hr,month,name,text,truth,characters2,characters4,characters3,combined,words,numbersInName,specialCharsText,capsInText
0,2011-10-03 08:45:00,3.0,8.0,10.0,J_0ney,I wonder if me and @jesspay are still getting lit and carving punkins tonight _Щ_У,1,1,1,1,1,1,1,82,1
1,2017-08-02 10:30:38,2.0,10.0,8.0,traceyhappymom,#AddCartoonsToHistory Johnny bravo sends ???? pix https://t.co/Y2FaIfW1zg,-1,-1,-1,-1,1,-1,0,73,9
2,2016-12-26 08:56:26,26.0,8.0,12.0,garrettsimpson_,"RT @CtrlSec: Targeted #ISIS accounts
https://t.co/qiWGebLLpY
https://t.co/RG5huM5Gyq
https://t.co/dzYl4Xh3C9
#targets #iceisis #opiceisis",-1,-1,-1,-1,-1,-1,0,141,21
3,2017-01-30 13:47:27,30.0,13.0,1.0,ameliebaldwin,"RT @SurvivorMed: The Disadvantage of Solely Relying on Gun Sights  https://t.co/O1DPJO2Wln 

#preppers #survivalgear #america",-1,-1,-1,-1,-1,-1,0,127,16
4,2016-10-12 14:53:28,12.0,14.0,10.0,kateritterrrr,RT @Miabella4u: Amen! He said it perfectly! #AmericaFirst #NeverHillary https://t.co/y1tJwOo6ut,-1,-1,-1,-1,-1,-1,0,95,11
5,2016-07-30 15:27:00,30.0,15.0,7.0,cassieweltch,RT @HurtsWhenIP23: #IHatePokemonGoBecause it makes me look like a creep. https://t.co/ikbG6vGE75,-1,-1,-1,-1,-1,-1,0,96,14
6,2015-04-18 20:41:00,18.0,20.0,4.0,TrevTech_LLC,Content Marketing has become the catalyst that fuels search and social media activity https://t.co/sCaJSsCIYc,1,1,1,1,1,1,0,109,8
7,2010-03-05 23:35:00,5.0,23.0,3.0,Kwasi_Genius,"Turn on the Television or the news and they would have you believe that
women are nothing but little angels who don‰ЫЄt like sex.",1,1,1,1,1,1,0,129,2
8,2016-09-26 09:57:38,26.0,9.0,9.0,traceyhappymom,"RT @Anni_Cyrus: #LostIn3Words
✔ Religion of peace 
✔ Hillary for President 
✔ Islam was hijacked",-1,-1,-1,-1,-1,-1,0,99,11
9,2016-11-02 16:49:30,2.0,16.0,11.0,dorothiebell,"RT @DrDavidBerger: Statistik der Amadeu-Antonio-Stiftung über ""rechte Gewalt"" zeigt 80-100 % Fehlerquote https://t.co/3U9gH5Yf0W #Flüchtlin…",-1,-1,-1,-1,-1,-1,0,140,16
10,2014-12-19 13:54:00,19.0,13.0,12.0,dredoo24,One person can look at you like your the most beautiful thing inside and out and the next person can see the exact opposite. Just reality..,1,1,1,1,1,1,2,139,2
11,2012-04-11 09:35:00,11.0,9.0,4.0,rebeccalmao,"as my body lays here broken and im carried to the light
now my heart is finally open, just let me die.",1,1,1,1,1,1,0,102,0
12,2017-06-23 11:01:42,23.0,11.0,6.0,melvinsroberts,"""Dairy Queen Of The Damned",-1,1,1,1,1,1,0,26,5
13,2011-05-02 12:56:00,2.0,12.0,5.0,MichalGric,@SainAsylum maybe nothing happens and a few days after it's just announced we got the injured player exception for Jarell Martin?,1,1,1,1,1,1,0,129,4
14,2009-03-03 21:02:00,3.0,21.0,3.0,BabiesGunsJesus,"@PatsKarvelas Wog meat kills Pat, just like coal mines and guns...",1,-1,1,1,-1,-1,0,66,4
15,2016-08-15 14:15:00,15.0,14.0,8.0,daileyjadon,RT @Dulcelicious15: #ChildrenThinkThat we can't be cool,-1,-1,-1,-1,-1,-1,0,55,6
16,2012-12-28 00:12:00,28.0,0.0,12.0,KerryCherry0380,@bbceastenders can't keep up with all these plot twists and story lines lately I thought my life was complicated _Щчв,1,1,1,1,1,1,4,117,1
17,2015-09-09 08:06:00,9.0,8.0,9.0,HeartKaycee,"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",1,1,1,1,1,-1,0,73,21
18,2017-02-01 01:56:23,1.0,1.0,2.0,patriotblake,RT @The_Trump_Train: POLL: Do you approve of the immigration halt from terror prone nations? VOTE &amp; RETWEET to reach more Americans!,-1,-1,-1,-1,-1,-1,0,136,22
19,2014-07-16 01:49:00,16.0,1.0,7.0,enna_lael,"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",1,1,1,1,1,-1,0,73,21
20,2016-09-20 20:09:06,20.0,20.0,9.0,tpartynews,".@realDonaldTrump: ""We should temporarily suspend immigration entirely from regions where...extreme vetting cannot… https://t.co/Jcq8OjAmp0",-1,-1,-1,-1,-1,-1,0,139,6
21,2008-10-17 19:41:00,17.0,19.0,10.0,klysha,@JeauxAlejandro actually the lowest level probably means you're damn near employable and/or your manager probably hates you,1,1,1,1,1,1,0,123,2
22,2016-12-17 20:29:14,17.0,20.0,12.0,patriotblake,"RT @SenSanders: If Trump is truly planning to stand up for working people, he would not be filling up his cabinet with billionaires and Wal…",-1,-1,-1,-1,-1,-1,0,140,7
23,2016-09-12 18:05:19,12.0,18.0,9.0,paolakinck,"RT @IngrahamAngle: Cute photo of all those #Deplorables, @realDonaldTrump! https://t.co/4eRD6Zsgqb",-1,-1,-1,-1,-1,-1,0,98,11
24,2015-09-23 11:32:00,23.0,11.0,9.0,miniONIONS6,"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",1,1,1,1,1,-1,1,73,21
25,2013-05-28 12:42:00,28.0,12.0,5.0,Jace_321,"@EchoBornToFight I don't know what to do... She doesn't want me to worry, Clara. And I'm scared of what's going to happen to her...--",1,-1,-1,-1,-1,-1,3,133,9
26,2016-09-17 09:42:06,17.0,9.0,9.0,rh0lbr00k,RT @MikePenceVP: Watch Hillary Clinton lying saying she never got a subpoena from Congress before she deleted her emails. https://t.co/NKWu…,-1,-1,-1,-1,-1,-1,3,140,13
27,2016-10-16 08:10:04,16.0,8.0,10.0,finley1589,"RT @GartrellLinda: FBI Agents Furious at Top Brass 4 Letting Clinton Off Hook https://t.co/jauAWvcyQR TIRED OF@FBI EXCUSES
SPEAK OUT PUBLIC…",-1,-1,-1,-1,-1,-1,4,140,50
28,2017-02-24 04:19:04,24.0,4.0,2.0,patriotblake,RT @GordonRamsay: Looks like you pulled it out from my great grandads underwear..... https://t.co/JMx0oDvXFE,-1,-1,-1,-1,-1,-1,0,108,11
29,2016-12-14 18:01:33,14.0,18.0,12.0,brianaregland,RT @PeopleRuin: You must Follow @TheDrunkStory for Hilarious party stories!😂😂 https://t.co/6GrSS8PXt7,-1,-1,-1,-1,-1,-1,0,101,15
30,2015-04-26 14:49:01,26.0,14.0,4.0,cassieweltch,RT @Gab1Aldana: Once Bitten…eaten fully #FattenAMovie,-1,-1,-1,-1,-1,-1,0,53,9
31,2012-04-19 05:18:00,19.0,5.0,4.0,ThomasBiladeau1,Remaining the Dark Side of Internet Affiliate Marketing Along with beautifying its site and growing https://t.co/RIY6Ow1ymy  #uncategorized,1,1,1,1,1,1,1,139,11
32,2017-01-18 11:52:32,18.0,11.0,1.0,ameliebaldwin,"RT @SPRTG1: How to Stop Mass Shootings | My Dylann Roof Dream https://t.co/7pp0gNV1iL

#teaparty #obama #hillary2016",-1,-1,-1,-1,-1,-1,0,118,18
33,2016-02-05 11:17:31,5.0,11.0,2.0,mil0blake,@marcthiessen #PatriotsMarchOnDC Contact: Web►https://t.co/SQAVlM7EYl Donate►https://t.co/HURaw2XLza #tcot #ccot #2A https://t.co/rIkHr7ZQOw,-1,-1,-1,-1,-1,-1,1,140,26
34,2015-09-25 19:13:00,25.0,19.0,9.0,breannazima1,S\o my dads old friend went to a phs reunion and saw this miss you dad‰ќ_•ьЏ #rip https://t.co/ruqFYwJYJI,1,1,1,1,1,1,1,105,7
35,2015-04-22 09:12:38,22.0,9.0,4.0,priceforpierce,I already posted this on CLUTCH™ but it was too good not to post on here https://t.co/ovnROJCAKQ,-1,-1,1,1,1,1,0,96,14
36,2012-09-25 14:36:00,25.0,14.0,9.0,HayleyByrne14,I think I'll just make some cookies and perhaps self reflect on my life :),1,-1,-1,1,1,1,2,74,2
37,2016-12-08 14:16:01,8.0,14.0,12.0,evagreen69,"RT @BrianHi41005416: @StopStopHillary @YouTube when was last time went to Doctor and didn't leave with prescription? #pushers , we demand i…",-1,-1,-1,-1,-1,-1,2,140,10
38,2017-02-20 08:46:45,20.0,8.0,2.0,laurabaeley,RT @pakalert: The Truth About Being Skinny and Becoming Skinny https://t.co/3NJJGg6Yml,-1,-1,-1,-1,-1,-1,0,86,14
39,2008-06-05 14:48:00,5.0,14.0,6.0,HotTopic,"Rainbow hair, don't care? Show us and you could win a year's supply of hair dye. LAST DAY: https://t.co/zCP22jV8X2 https://t.co/Eloi5qUhmw",1,1,-1,-1,1,-1,0,138,15
40,2017-03-30 11:03:50,30.0,11.0,3.0,patriotblake,RT @1stevetaylor: #humor #funnypics #demotivators #lol #funny #kitten #kitty #nap #attacked #and #won 😺Tag your friends!!! https://t.co/2Cn…,-1,-1,-1,-1,-1,-1,0,140,4
41,2016-09-29 18:19:33,29.0,18.0,9.0,dorothiebell,"RT @WashTimes: He, she or ze: #Michigan students dictate personal pronouns used by faculty https://t.co/TZsdyp01LY
#Ze #Wolverines #Univers…",-1,-1,-1,-1,-1,-1,0,141,13
42,2014-03-24 11:49:00,24.0,11.0,3.0,_danjaaaa,When You Bored And Your Man At Practice _Щч©_Щч©,1,1,1,1,1,-1,0,48,8
43,2015-12-04 16:51:56,4.0,16.0,12.0,heyits_toby,ridiculous how shootings have become a regular thing... #prayforsanbernadino #Guns4NY,-1,-1,-1,-1,-1,-1,0,85,3
44,2017-01-16 14:01:39,16.0,14.0,1.0,giselleevns,"RT @WorldOfHashtags: It's MLK Day today
Share your dreams using #IHaveADreamThat hashatg https://t.co/PtsunEv5xJ",-1,-1,-1,-1,-1,-1,0,113,19
45,2011-06-12 19:06:00,12.0,19.0,6.0,capricorn288,We Are Just Gaping At These Beautiful and Sexy Women https://t.co/h9MQk04Z1e https://t.co/IWe9Dnkmke,1,1,1,1,-1,-1,3,100,15
46,2016-12-30 18:55:27,30.0,18.0,12.0,brianaregland,RT @aparnapkin: This is the best thing that has ever happened to me. https://t.co/mXH66XSGub,-1,-1,-1,-1,-1,-1,0,92,8
47,2016-10-19 14:07:34,19.0,14.0,10.0,worldofhashtags,RT @geoffclark37: #RejectedDebateTopics anything actually election related,-1,-1,-1,-1,-1,-1,0,74,5
48,2016-02-25 08:55:14,25.0,8.0,2.0,leroylovesusa,RT @chillblueyes71: MT @TexanCat: THIS is the Commander In Chief our brave men,-1,-1,-1,-1,-1,-1,0,78,13
49,2017-07-10 10:05:43,10.0,10.0,7.0,baobaeham,"RT @thedrizzybibIe: Drake is releasing a new song titled, SIGNS https://t.co/IY7haCcDX1",-1,-1,-1,-1,-1,-1,0,87,14
50,2016-09-09 16:35:05,9.0,16.0,9.0,jacquelinisbest,“Hillaryism is the new McCarthyism” by @MichelleArry https://t.co/qBKYyxWH4V,-1,1,-1,-1,1,1,0,76,11
51,2016-03-11 16:41:04,11.0,16.0,3.0,_nickluna_,Defense Department Teaching Documents Suggest Mainstream Conservative Views *Extremist* https://t.co/Qc7wQL35ep #TeaParty #tcot #tlot #PJNET,-1,-1,-1,-1,-1,-1,0,140,19
52,2012-08-29 20:00:00,29.0,20.0,8.0,theresaa426,"on the phone with Olivia and she's telling me ""I look amazing""_Щчв_Щчв_Щчв such a mini Victoria @vcarofaloo",1,1,1,1,1,1,3,107,3
53,2010-09-25 06:27:00,25.0,6.0,9.0,jkaragosian129,Haven't even clocked in and I'm looking forward to Jamba on break _ЩчЙ,1,1,-1,1,1,1,3,70,3
54,2015-11-30 17:30:14,30.0,17.0,11.0,garrettsimpson_,RT @KurtSchlichter: Computer science? So you'll be working for me in some other capacity than providing coffee? @BryanEffEm,-1,-1,-1,-1,-1,-1,0,123,9
55,2017-03-04 21:27:22,4.0,21.0,3.0,willisbonnerr,RT @RetrieversDaiIy: Crime Stoppers https://t.co/pC6QFbQvNx,-1,-1,-1,-1,-1,-1,0,59,12
56,2014-06-16 06:41:00,16.0,6.0,6.0,ResourceAngel1,STUDENT REWARDS: WHERE I SIT AND WHY? - A Guest Post from Australia. This is the first of three Blog https://t.co/woTdgqseLa #ResourceAngel,1,1,1,1,1,1,1,139,39
57,2014-12-03 06:04:00,3.0,6.0,12.0,CandidoDhess,"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",1,1,1,1,1,-1,0,73,21
58,2015-05-22 05:54:00,22.0,5.0,5.0,Chubbs214,If you want to party friday and saturday hmu and ask _ЩФЫ_Щ_Д,1,1,1,1,1,-1,3,61,1
59,2017-07-15 07:13:30,15.0,7.0,7.0,klara_sauber,RT @LarsWienand: #deMaiziere denkt an Fußfesseln für potenzielle Krawallmacher.  #g20 https://t.co/69x7xl5i6y https://t.co/kOOYgn6qvS,-1,-1,-1,-1,-1,-1,0,133,11
60,2016-09-29 19:50:20,29.0,19.0,9.0,jacquelinisbest,"RT @weknowwhatsbest: HRC needed 4 days to ""rest up"" for a 90 min debate in which she bragged about sitting for 11 hrs once.
Sorry to those…",-1,-1,-1,-1,-1,-1,0,140,6
61,2017-03-17 23:35:22,17.0,23.0,3.0,peterkistner,"RT @larafritzsche: Nicht das Seehofer noch eifersüchtig wird, dieser Blick ist eigentlich ihm vorbehalten. 
#Merkel https://t.co/JfMInXft5a",-1,-1,-1,-1,-1,-1,0,140,10
62,2015-09-16 01:40:00,16.0,1.0,9.0,betha_lehem,"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",1,1,1,1,1,-1,0,73,21
63,2013-05-04 13:20:00,4.0,13.0,5.0,dadivinechild,Fuck me over and it's fuck you forever...,1,1,1,1,1,1,0,41,1
64,2015-09-17 01:30:00,17.0,1.0,9.0,lizquenphysics,"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",1,1,1,1,1,-1,0,73,21
65,2016-02-17 08:28:45,17.0,8.0,2.0,evagreen69,RT @danielrhamilton: A day of high drama in #Kosovo as Vetevendosje protests take to streets of Pristina. Protestor violence &amp; police overr…,-1,-1,-1,-1,-1,-1,2,144,7
