,created,day,hr,month,name,text,truth,characters2,characters4,characters3,combined,words,numbersInName,specialCharsText,capsInText
0,2009-01-08 19:59:00,8.0,19.0,1.0,marcscribner,@ebwashington @binarybits OEM-owned Car2Go. OEMs and Tier 1s (or future suppliers--Google) likely in best position for AV subscription model,1,1,1,1,1,1,0,0.2,0.08571428571428572
1,2015-09-14 05:37:00,14.0,5.0,9.0,lizaquen3,"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",1,1,1,1,1,-1,1,0.136986301369863,0.2876712328767123
2,2009-02-25 09:09:00,25.0,9.0,2.0,hale_razor,"Military under Obama's command knew it was a functioning hospital and blew it up anyway, killing 30. https://t.co/ApIMm9xu6K",1,-1,-1,-1,1,-1,0,0.23387096774193547,0.04838709677419355
3,2017-03-01 02:28:39,1.0,2.0,3.0,hyddrox,"RT @SebGorka: ""Without a contrast of ideas between freedom and slavery, between individualism and collectivism, war is just a meaningless s…",-1,-1,-1,-1,-1,-1,0,0.18571428571428572,0.03571428571428571
4,2011-01-20 13:23:00,20.0,13.0,1.0,ZincBarLounge,"~~~BUD LITE AND FROZEN CONCOCTION MONDAY~~~

Tiffany and Matt are here to serve you with a smile

$2 BUD LITE... https://t.co/l5ZtCB5DLR",1,1,1,1,1,1,0,0.29411764705882354,0.34558823529411764
5,2016-12-21 16:07:06,21.0,16.0,12.0,daileyjadon,"RT @TGJones_62: #secondhandgifts
This T-SHIRT.. https://t.co/Pdfhyd1YMG",-1,-1,-1,-1,-1,-1,0,0.2916666666666667,0.2222222222222222
6,2014-10-09 16:00:00,9.0,16.0,10.0,randomforecast,"It is currently 82F/28C and Mostly Cloudy for Weleri, Indonesia.
#randomforecast https://t.co/xG754FqG8Z",1,1,1,1,1,1,0,0.2692307692307692,0.10576923076923077
7,2015-09-16 01:02:00,16.0,1.0,9.0,wilie_pilapil,"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",1,1,1,1,1,-1,0,0.136986301369863,0.2876712328767123
8,2016-03-23 07:37:13,23.0,7.0,3.0,jeffreykahunas,"RT @PizzaPartyBen: I'd rather be called ""racist"" for not supporting refugee immigration than have all the evil happening in Europe, happen …",-1,-1,-1,-1,-1,-1,0,0.2,0.05
9,2016-07-21 11:04:28,21.0,11.0,7.0,marianeuberg1,#Merkel und die #CDU werden nie die #AfD-Wähler verteufeln! #Merkelmussbleiben,-1,-1,-1,-1,-1,-1,1,0.20512820512820512,0.10256410256410256
10,2010-03-27 15:01:00,27.0,15.0,3.0,JulesOVO,Nic and beyonce are really besties https://t.co/lZ3djMIfH2,1,-1,1,1,1,-1,0,0.22413793103448276,0.08620689655172414
11,2011-07-28 17:45:00,28.0,17.0,7.0,GKToddHenny,I do dumb shit sometimes and afterwards just think to myself how can any nigga be so stupid and why that nigga gotta be me. Lmfao,1,1,1,1,1,-1,0,0.20155038759689922,0.015503875968992248
12,2011-05-12 04:19:00,12.0,4.0,5.0,sicmsevens,"*NO games tonight* sorry for late message, only just happened but the electricity has gone and back-up generator failed. @CoseleySports",1,-1,1,1,1,1,0,0.18518518518518517,0.02962962962962963
13,2017-01-20 16:06:02,20.0,16.0,1.0,mil0blake,#ThanksObama #blm movement,-1,-1,-1,-1,-1,-1,1,0.15384615384615385,0.07692307692307693
14,2009-02-13 20:45:00,13.0,20.0,2.0,tmj_dfw_health,"See our latest #FortWorth, TX #job and click to apply: CERTIFIED OCCUPATIONAL THERAPY ASSISTANT (COTA) needed... - https://t.co/cndh0c7BPt",1,1,1,1,1,1,0,0.2463768115942029,0.34782608695652173
15,2017-04-17 14:43:45,17.0,14.0,4.0,notritahart,"RT @TomMalvaso: #EasterIn4Words
Spring can start now... https://t.co/MafmncOCK3",-1,-1,-1,-1,-1,-1,0,0.2625,0.15
16,2009-04-08 05:48:00,8.0,5.0,4.0,Kazzababy25,"@Sparkle__Monkey @Joe_Gatto @jamessmurray Must have miser that tweet haha, I hope they do come to Scotland so me and my fiancМ© can see them",1,1,1,1,1,1,2,0.22857142857142856,0.05
17,2016-10-06 12:57:10,6.0,12.0,10.0,cookncooks,RT @realkingrobbo: All thumbs (Confirmed: full of shit) #TrumpTrain #Trump2016 #MAGA https://t.co/qkly9rhDW4,-1,-1,-1,-1,-1,-1,0,0.2777777777777778,0.12037037037037036
18,2016-11-04 13:10:02,4.0,13.0,11.0,blacktolive,RT @_taycharlese: Now imagine whether he would be in prison or not for doing the things Hillary has done. https://t.co/0fV1FQ8swB,-1,-1,-1,-1,-1,-1,0,0.24031007751937986,0.06201550387596899
19,2011-08-18 11:56:00,18.0,11.0,8.0,katefersinger,i can‰ЫЄt wait to have kids and to steer them so fucking clear of gender stereotypes,1,1,1,1,1,1,0,0.21428571428571427,0.0
20,2013-11-10 21:21:00,10.0,21.0,11.0,BlacBirdwatcher,@NYDailyNews @kanyewest is he really orchestrating birth of his kid for 12/25 and naming them Yeezus??? truth or rumor?,1,1,1,-1,-1,-1,0,0.24369747899159663,0.04201680672268908
21,2017-04-25 20:32:11,25.0,20.0,4.0,mrclydepratt,"RT @DLHughleyRadio: "" I think women are angrier and more hostile in this day in age"" - @jasminesanders",-1,-1,-1,-1,-1,-1,0,0.22549019607843138,0.06862745098039216
22,2015-04-30 00:23:02,30.0,0.0,4.0,johnbranchh,RT @ChicagoILDaily: #breaking Banks' estranged wife says caretaker has yet to provide key financial info,-1,-1,-1,-1,-1,-1,0,0.17307692307692307,0.0673076923076923
23,2016-08-15 11:38:08,15.0,11.0,8.0,mr_clampin,RT @DominicValent: Weeks and Geeks #AthleticsTVShows,-1,-1,-1,-1,-1,-1,0,0.15384615384615385,0.19230769230769232
